Nation Towers Residential Lofts,2008,"74,545"
Suzhou Center,2010,
Jiangxi Nanchang Greenland Zifeng Tower,2012,"209,058"
Bank of Guangzhou Tower,2008,"122,584"
10 Hudson Yards,2013,"166,827"
Bicsa Financial Center,2008,"211,920"
Fortune Financial Center,2009,"151,585"
Petronas Tower 3,2008,"141,300"
Al Faisaliah Center,1997,
The Point,,
Suning Plaza Tower A,2013,
Bank of America Corporate Center,1989,"130,063"
Eight Spruce Street,2006,"92,903"
Changzhou Modern Media Center,2010,"89,767"
Doosan Haeundae We've the Zenith Tower C,2007,
900 North Michigan Avenue,,
Business Central Tower 1,2005,"102,021"
Business Central Tower 2,2005,"102,021"
WBC The Palace 1,2008,
WBC The Palace 2,2008,
Great Mosque of Algiers Tower,2012,
120 Collins Street,1986,
Hongren Fortune Center,2013,
Chase Tower,1966,"204,385"
SunTrust Plaza,1989,"130,064"
Triumph Palace,2001,"322,433"
PTJ International Finance Center,2010,
"Tower Palace Three, Tower G",2001,
Star Harbor International Centre East Tower,2015,
Star Harbor International Centre West Tower,2015,
Financial Street Heping Center,2013,
U-Bora Tower 1,2006,"120,000"
Bitexco Financial Tower,2006,"114,000"
Trump World Tower,1999,"83,403"
Ningbo Global Shipping Plaza,2009,"143,236"
Vanke Chang'an Center Building 8,2013,"114,504"
Oriental Plaza T1,2012,
Wisma 46,,"125,869"
Xinglin Bay Business Tower,2012,"159,380"
Water Tower Place,1972,"287,997"
66 Tower 1,1994,"67,222"
66 Tower 2,1994,
Aqua at Lakeshore East,2007,"184,936"
Aon Center,,"116,128"
Menara Astra,2013,"165,000"
East Pacific Center Tower B,2008,
Sapphire Tower,2006,"165,139"
Brookfield Place,1987,"127,471"
Etihad Towers T3,2007,"74,198"
Guangdong Telecom Plaza,1997,"145,000"
BD Bacata Torre 1,2011,
Vision Tower,2006,
SunnyWorld Center,2007,
Jing An Kerry Centre Tower 2,2009,"111,082"
Samsung China Headquarters,2014,"168,936"
Yuyang Tower,2011,
Beijing Greenland Center,2012,"172,800"
Dual Towers 1,2003,
Dual Towers 2,2003,
101 Collins Street,,"82,800"
Transamerica Pyramid Center,1969,"65,225"
Shenzhen Special Zone Daily Tower,,
Shanghai IFC North Tower,2004,
1 William Street,2013,"126,800"
Comcast Building,1931,"195,095"
Commerzbank Tower,1994,"108,000"
Philippine Bank of Communications,1998,"117,480"
Grand Hyatt Metrocenter,2012,
Two Liberty Place,,"111,483"
Tamkeen Tower,2009,"115,820"
The River South Tower,2008,
Lanko Grand Hyatt Hotel,2000,
Heilan Fortune Center,2012,"220,000"
Sahid Sudirman Center,2012,"164,000"
Lanko Conference & Exhibition International Plaza Yage,2006,
The Metropolitan Office Tower,2008,
Zhe Jiang Fortune Financial Center - Tower 1,2006,
Grand Parkray Hangzhou Hotel Tower 1,2008,
