Wells Fargo Plaza,Houston,US,302.4,71,1983,steel,office,1979,"170,362"
Kingdom Centre,Riyadh,SA,302.3,41,2002,steel/concrete,residential / hotel / office,1999,"185,000"
The Address,Dubai,AE,302.2,63,2008,concrete,residential / hotel,2005,"178,000"
Gate to the East,Suzhou,CN,301.8,66,2015,composite,residential / hotel / office,2004,"450,000"
Capital City Moscow Tower,Moscow,RU,301.8,76,2010,concrete,residential,2005,
Shenzhen Zhongzhou Holdings Financial Center,Shenzhen,CN,300.8,61,2015,composite,hotel / office,2008,
Doosan Haeundae We've the Zenith Tower A,Busan,KR,300,80,2011,concrete,residential,2007,"128,595"
Huachuang International Plaza Tower 1,Changsha,CN,300,66,2017,composite,hotel / office,2013,
Torre Costanera,Santiago,CL,300,62,2014,concrete,hotel / office,2006,"110,000"
Abeno Harukas,Osaka,JP,300,60,2014,steel,hotel / office / retail,2010,"212,000"
Arraya Tower,Kuwait City,KW,300,60,2009,concrete,office,2005,
Aspire Tower,Doha,QA,300,36,2007,composite,hotel / office,2005,"35,000"
Jin Wan Plaza 9,Tianjin,CN,299.7,66,2017,composite,hotel / office,2011,
Four Seasons Private Residences,Bangkok,TH,299.5,73,2019,concrete,residential,2015,
Shum Yip Upperhills Tower 2,Shenzhen,CN,299.3,62,2017,composite,office,2013,
First Canadian Place,Toronto,CA,298.1,72,1975,steel,office,1973,"250,849"
One Island East,Hong Kong,CN,298.1,68,2008,concrete,office,,"142,792"
4 World Trade Center,New York City,US,297.7,65,2014,composite,office,2008,"232,258"
Eureka Tower,Melbourne,AU,297.3,91,2006,concrete,residential,2001,"123,000"
Comcast Center,Philadelphia,US,296.7,57,2008,composite,office,2005,"130,064"
Landmark Tower,Yokohama,JP,296.3,73,1993,steel,hotel / office,,"392,791"
R&F Yingkai Square,Guangzhou,CN,296.2,66,2014,composite,residential / hotel / office,2008,"142,956"
Emirates Crown,Dubai,AE,296,63,2008,concrete,residential,2005,
China World Trade Center Phase 3B,Beijing,CN,295.6,59,2017,composite,hotel / office,2013,"225,806"
Xiamen Shimao Straits Tower B,Xiamen,CN,295.3,67,2015,composite,office,2011,
Millennium Hotel,Dubai,AE,294,66,2011,concrete,hotel,2004,
Riverfront Times Square,Shenzhen,CN,293,64,2016,composite,hotel / office,2012,
Ping An Finance Center South,Shenzhen,CN,293,51,2019,composite,hotel / office,2015,
311 South Wacker Drive,Chicago,US,292.9,65,1990,concrete,office,1988,"130,942"
Sky Tower,Abu Dhabi,AE,292.2,74,2010,concrete,residential / office,2006,
Haeundae I Park Marina Tower 2,Busan,KR,292.1,72,2011,composite,residential,2007,
SEG Plaza,Shenzhen,CN,291.6,71,2000,concrete,office,,"169,083"
220 Central Park South,New York City,US,290.2,70,2019,concrete,residential,2014,"38,494"
70 Pine,New York City,US,290.2,67,1932,steel,office,1930,"80,360"
Concord International Centre,Chongqing,CN,290,64,2017,composite,hotel / office / retail,2012,"111,919"
Powerlong Center Tower 1,Tianjin,CN,289.9,59,2019,composite,office,2011,
Dongguan TBA Tower,Dongguan,CN,289,68,2013,composite,hotel / office,2008,"280,000"
Busan International Finance Center Landmark Tower,Busan,KR,289,63,2014,concrete,office,2011,
Key Tower,Cleveland,US,288.7,57,1991,composite,office,1988,"116,127"
China Chuneng Tower,Shenzhen,CN,288.6,62,2016,composite,office,2013,
Plaza 66,Shanghai,CN,288.2,66,2001,concrete,office,1994,"131,100"
One Liberty Place,Philadelphia,US,288,61,1987,steel,office,,"111,483"
Sulafa Tower,Dubai,AE,288,76,2010,concrete,residential,2006,"107,300"
Kaisa Center,Huizhou,CN,288,66,2015,concrete,hotel / office,2009,
Yingli International Finance Centre,Chongqing,CN,288,58,2012,concrete,office,2009,"173,500"
Shaoxing Shimao Crowne Plaza,Shaoxing,CN,288,55,2012,composite,hotel / office,2008,"101,521"
Soochow International Plaza East Tower,Huzhou,CN,288,50,2014,composite,hotel / office,2010,
Soochow International Plaza West Tower,Huzhou,CN,288,50,2014,composite,residential,2010,
United International Mansion,Chongqing,CN,287,67,2013,concrete,office,1998,"117,138"
HNA&POLY International Centre,Chongqing,CN,286.8,61,2013,concrete,office / hotel / retail,2007,
Huaxun Center,Shenzhen,CN,286,70,2018,concrete,office,2014,
Gama Tower,Jakarta,ID,285.5,64,2016,concrete,hotel / office,2011,"163,466"
Millennium Tower,Dubai,AE,285.1,59,2006,concrete,residential,2004,"99,800"
Tomorrow Square,Shanghai,CN,284.6,60,2003,concrete,residential / hotel / office,1997,"93,000"
Columbia Center,Seattle,US,284.4,76,1984,composite,office,1982,"142,891"
JW Marriott Panama,Panama City,PA,284,70,2011,concrete,residential / hotel / casino,2007,"252,000"
Skyland Office Tower,Istanbul,TR,284,65,2017,concrete,office,2013,
Skyland Residential Tower,Istanbul,TR,284,64,2017,concrete,residential,2013,
Three International Finance Center,Seoul,KR,284,55,2012,composite,office,2007,"130,940"
Greenland Zhengzhou Central Plaza South Tower,Zhengzhou,CN,283.9,63,2017,composite,office,2012,
Zhengzhou Greenland Central Plaza North Tower,Zhengzhou,CN,283.9,63,2017,composite,office,2012,
Tanjong Pagar Centre,Singapore,SG,283.7,65,2016,composite,residential / office,2013,
Chongqing World Trade Center,Chongqing,CN,283.1,60,2005,concrete,office,,
Cheung Kong Centre,Hong Kong,CN,282.8,63,1999,steel,office,,"125,418"
GT Land Landmark Plaza South Tower,Guangzhou,CN,282.8,47,2016,composite,residential / hotel,2010,
The Trump Building,New York City,US,282.6,71,1930,steel,office,1929,"103,278"
30 Park Place,New York City,US,282.2,67,2016,concrete,residential / hotel,2008,"63,453"
City of Lights C1 Tower,Abu Dhabi,AE,282.1,62,2015,concrete,office,2009,
Al Hekma Tower,Dubai,AE,282,64,2016,steel/concrete,office,2006,
Suzhou RunHua Global Building A,Suzhou,CN,282,49,2010,composite,office,2007,"78,804"
Doosan Haeundae We've the Zenith Tower B,Busan,KR,281.5,75,2011,concrete,residential,2007,"120,136"
Bank of America Plaza,Dallas,US,280.7,72,1985,composite,office,1983,"171,312"
Torre Vitri,Panama City,PA,280.7,75,2012,concrete,residential,2007,
Lanzhou City Plaza Building 1,Lanzhou,CN,280.5,60,2018,composite,hotel / office,2015,
Marina Pinnacle,Dubai,AE,280,73,2011,concrete,residential,2005,
United Overseas Bank Plaza One,Singapore,SG,280,66,1992,steel,office,,"92,902"
China Resources Center 2,Hefei,CN,280,65,2017,concrete,office / hotel,2012,
Excellence Century Plaza Tower 1,Shenzhen,CN,280,60,2010,composite,office,2007,"115,000"
Metropol Tower Istanbul,Istanbul,TR,280,58,2017,concrete,hotel / residential / office,2013,
Zhengzhou Greenland Plaza,Zhengzhou,CN,280,56,2014,composite,hotel / office,2007,"240,169"
The Address Residence - Fountain Views I,Dubai,AE,279.9,71,2018,concrete,serviced apartments,2014,
The Address Residence - Fountain Views II,Dubai,AE,279.9,71,2018,concrete,serviced apartments,2014,
Bodi Center Tower C,Hangzhou,CN,279.7,57,2017,composite,office,2013,
Treasury Tower,Jakarta,ID,279.5,57,2018,concrete,office,2013,
Eton Place Dalian Tower 2,Dalian,CN,279.5,62,2015,composite,residential / office,2008,"90,533"
Torre KOI,San Pedro Garza Garc??a,MX,279.1,65,2017,concrete,residential / office,2013,"1,900"
Abraj Al Bait ZamZam Tower,Mecca,SA,279,58,2012,concrete,hotel,,
601 Lexington,New York City,US,278.9,63,1977,steel,office,1974,"146,683"
The Astaka Tower A,Johor Bahru,MY,278.8,72,2018,concrete,residential,2014,"68,462"
15 Hudson Yards,New York City,US,278.6,70,2019,concrete,residential,2014,"91,070"
Hong Kong New World Tower,Shanghai,CN,278.3,59,2004,composite,hotel / office / retail,1998,"136,833"
Logan International Headquarters Tower 1,Nanning,CN,278,58,2018,steel/concrete,office,2014,
Overseas Union Bank Centre,Singapore,SG,277.8,63,1986,steel,office,1982,"101,784"
Etihad Towers T1,Abu Dhabi,AE,277.6,69,2011,concrete,hotel / residential,2007,"70,908"
D1 Tower,Dubai,AE,277.5,78,2015,concrete,residential,2007,"88,228"
The St. Regis Toronto,Toronto,CA,276.9,63,2012,concrete,residential / hotel,2007,"74,510"
World Trade Center Abu Dhabi - The Offices,Abu Dhabi,AE,276.6,60,2014,concrete,office,2007,"90,000"
Republic Plaza,Singapore,SG,276.3,66,1996,composite,office,1993,"91,782"
Abraj Al Bait Hajar Tower,Mecca,SA,276,54,2012,concrete,hotel,,
Diwang International Commerce Center,Nanning,CN,276,54,2006,concrete,hotel / office,2003,
Tianyue Xinchen Tower 1,Wuhan,CN,275.3,43,2018,composite,office,2014,
Scotia Tower,Toronto,CA,275,68,1988,composite,office,1985,"148,658"
Riverside Century Plaza Main Tower,Wuhu,CN,275,66,2015,composite,hotel / office,2011,
Williams Tower,Houston,US,274.6,64,1982,steel,office,1981,"148,644"
Victoria Dockside,Hong Kong,CN,274.5,64,2017,concrete,serviced apartments / hotel / office,2013,"127,858"
Ilham Tower,Kuala Lumpur,MY,274,58,2015,concrete,residential / office,2010,"8,250"
Nantong Zhongnan International Plaza,Nantong,CN,273.3,53,2011,steel/concrete,residential / office,2008,"118,732"
Shenzhen Bay Ecocity B-Tech Tower 1,Shenzhen,CN,273,58,2018,composite,hotel / office,2014,
NEO Tower A,Shenzhen,CN,273,56,2011,concrete,office,2007,
Shimao International Center Office Tower,Fuzhou,CN,273,56,2013,composite,office,2010,
Haeundae I Park Marina Tower 1,Busan,KR,272.9,66,2011,composite,residential,2007,
