Fanya International Finance Building North,Kunming,CN,317.8,,67,2013,2016,composite,office
Fanya International Finance Building South,Kunming,CN,317.8,,66,2013,2016,composite,office
Blue Tower,Dubai,AE,317.6,,72,2006,2010,concrete,residential
Chongqing IFS T1,Chongqing,CN,316.3,,63,2012,2016,composite,hotel / office
Magnolias Waterfront Residences Tower 1,Bangkok,TH,315,,70,2015,2018,concrete,residential
Jumeirah Nanjing Hotel & International Youth Cultural Centre Tower 2,Nanjing,CN,315,120000,67,2012,2015,composite,hotel / office
King Power MahaNakhon,Bangkok,TH,314,121782,79,2011,2016,concrete,residential / hotel
Honglou Times Square,Lanzhou,CN,313,,56,2012,2018,composite,hotel / office
Bank of America Plaza,Atlanta,US,311.8,117242,55,1991,1992,composite,office
Poly Pazhou C2,Guangzhou,CN,311,128000,61,2013,2017,composite,office
Moi Center Tower A,Shenyang,CN,311,,75,2008,2014,composite,hotel / office
U.S. Bank Tower,Los Angeles,US,310.3,,73,1987,1990,steel,office
Ocean Heights,Dubai,AE,310,113416,83,2007,2010,concrete,residential
Menara TM,Kuala Lumpur,MY,310,148643,55,1998,2001,concrete,office
Pearl River Tower,Guangzhou,CN,309.4,165840,71,2006,2013,composite,office
Fortune Center,Guangzhou,CN,309.4,210477,68,2011,2015,composite,office
Emirates Tower Two,Dubai,AE,309,,56,,2000,concrete,hotel
Eurasia Tower,Moscow,RU,308.9,212900,72,2006,2015,composite,residential / hotel / office
Guangfa Securities Headquarters,Guangzhou,CN,308,158263,59,2013,2018,composite,office
Changsha IFS Tower T2,Changsha,CN,308,,63,2013,2018,composite,office
Burj Rafal,Riyadh,SA,307.9,92626,68,2010,2014,concrete,residential / hotel
35 Hudson Yards,New York City,US,307.8,97207,71,2015,2019,concrete,residential / hotel
The Franklin  North Tower,Chicago,US,306.9,157934,60,1987,1989,composite,office
Cayan Tower,Dubai,AE,306.4,111000,73,2006,2013,concrete,residential
One57,New York City,US,306.1,79299,75,2009,2014,steel/concrete,residential / hotel
East Pacific Center Tower A,Shenzhen,CN,306,,85,2008,2013,composite,residential
The Shard,London,GB,306,127489,73,2009,2013,composite,residential / hotel / office
JPMorgan Chase Tower,Houston,US,305.4,156437,75,1978,1982,composite,office
Etihad Towers T2,Abu Dhabi,AE,305.3,83738,80,2007,2011,concrete,residential
Northeast Asia Trade Tower,Incheon,KR,305,140000,68,2006,2011,composite,residential / hotel / office
International Trade Center,Zhongshan,CN,305,,65,2016,2019,concrete,hotel / office
Shenzhen CFC Changfu Centre,Shenzhen,CN,304.3,,68,2011,2015,composite,office
Baiyoke Tower II,Bangkok,TH,304,,85,1990,1997,concrete,hotel
Wuxi Maoye City  Marriott Hotel,Wuxi,CN,303.8,,68,2008,2014,composite,hotel
Two Prudential Plaza,Chicago,US,303.3,130063,64,1988,1990,concrete,office
Diwang International Fortune Center,Liuzhou,CN,303,61062,72,2010,2015,composite,office / hotel
Greenland Puli Center,Jinan,CN,303,111064,61,2011,2014,composite,office
Jiangxi Nanchang Greenland Central Plaza Parcel A,Nanchang,CN,303,110000,59,2012,2015,composite,office
Jiangxi Nanchang Greenland Central Plaza Parcel B,Nanchang,CN,303,110000,59,2012,2015,composite,office
Leatop Plaza,Guangzhou,CN,302.7,114700,64,2008,2012,composite,office
Wells Fargo Plaza,Houston,US,302.4,170362,71,1979,1983,steel,office
Kingdom Centre,Riyadh,SA,302.3,185000,41,1999,2002,steel/concrete,residential / hotel / office
The Address,Dubai,AE,302.2,178000,63,2005,2008,concrete,residential / hotel
Gate to the East,Suzhou,CN,301.8,450000,66,2004,2015,composite,residential / hotel / office
Capital City Moscow Tower,Moscow,RU,301.8,,76,2005,2010,concrete,residential
Shenzhen Zhongzhou Holdings Financial Center,Shenzhen,CN,300.8,,61,2008,2015,composite,hotel / office
Doosan Haeundae We've the Zenith Tower A,Busan,KR,300,128595,80,2007,2011,concrete,residential
Huachuang International Plaza Tower 1,Changsha,CN,300,,66,2013,2017,composite,hotel / office
Torre Costanera,Santiago,CL,300,110000,62,2006,2014,concrete,hotel / office
Abeno Harukas,Osaka,JP,300,212000,60,2010,2014,steel,hotel / office / retail
Arraya Tower,Kuwait City,KW,300,,60,2005,2009,concrete,office
Aspire Tower,Doha,QA,300,35000,36,2005,2007,composite,hotel / office
Jin Wan Plaza 9,Tianjin,CN,299.7,,66,2011,2017,composite,hotel / office
Four Seasons Private Residences,Bangkok,TH,299.5,,73,2015,2019,concrete,residential
Shum Yip Upperhills Tower 2,Shenzhen,CN,299.3,,62,2013,2017,composite,office
First Canadian Place,Toronto,CA,298.1,250849,72,1973,1975,steel,office
One Island East,Hong Kong,CN,298.1,142792,68,,2008,concrete,office
4 World Trade Center,New York City,US,297.7,232258,65,2008,2014,composite,office
